severity,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,churn,files,NR,NBF,nc,ncom,avg_cs,dsc,ce,exp,own,is_controller,is_procedural,is_test,is_util,is_external
none,0,0,0,0,1,3,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,24,0,0,0,0,0,0,0,0,33,1,0,143803,332,0,3,16,8,20.75,5.098765432,2.259126772,2,0.3125,FALSE,FALSE,FALSE,FALSE,FALSE
minor,11,18,7,11,12,5,0,20,11,0.8055555,0.0952381,0.14285715,6,0,6,0,0,0,7,0,0,0,6,0,0,6,0,0,6,0,5,139,0,2,0,2,0,4,2,12,1,12,3,7,0,0,75,1,2,21905,238,0,1,5,3,47.6,7.830071961,1.429830399,1.666666667,0.6,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,15,13,2,23,1,0,11,28,0.8791209,0.32051283,0.5769231,13,1,12,0,0,1,13,0,0,0,14,9,8,6,0,0,9,0,13,71,12,0,3,1,1,12,6,19,1,17,2,0,0,0,66,1,1,12026,237,4,19,19,10,12.47368421,9.015839982,2.20037639,1.9,0.421052632,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,1,0,1,1,6,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,8957,173,0,3,8,3,21.625,4.94214876,1.74421741,2.666666667,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
none,0,1,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,8940,315,0,0,6,1,52.5,6.10682398,1.663403792,6,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,6,5,1,11,3,0,0,33,0.78787875,0.2,0.2,11,0,11,0,0,0,11,0,0,0,3,1,0,3,0,0,1,0,0,41,2,0,0,0,0,0,1,6,0,3,0,0,0,0,29,1,0,2171,127,0,0,3,2,42.33333333,4.8,0.957733901,1.5,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
none,6,6,0,6,1,2,0,0,0,0,,,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1024,0,6722,224,0,1,5,1,44.8,5.836734694,1.265565309,5,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,2,2,0,2,1,2,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,0,2020,77,0,0,5,1,15.4,12.97333333,1.452570716,5,1,TRUE,FALSE,FALSE,FALSE,FALSE
critical,10,17,7,10,157,1,0,52,457,0.8333333,0.1952381,0.1952381,38,2,36,2,0,0,36,0,2,0,3,1,0,3,0,0,1,0,6,387,44,29,53,2,2,11,37,57,5,36,5,1,0,0,178,1,0,188,26,0,0,1,1,26,0,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
critical,30,33,3,30,27,2,0,75,43,0.8333333,0,0,10,4,1,8,0,1,2,0,0,0,3,1,0,3,0,0,3,0,9,154,8,0,0,0,1,11,2,21,2,23,6,0,1,3,134,17,8,5369,277,1,5,17,5,16.29411765,6.730769231,2.176176277,3.4,0.411764706,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,2,0,2,1,1,0,1,0,1,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,11,10,0,954,20,0,1,2,2,10,0,0.610864302,1,0.5,FALSE,TRUE,FALSE,FALSE,FALSE
none,4,5,1,4,1,1,0,9,0,0,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,11,1,0,0,0,0,4,0,2,0,2,0,0,0,0,17,1,0,768,29,1,2,4,4,7.25,0,1.329481817,1,0.25,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,3,1,2,1,1,0,0,0,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,580,13,0,0,1,1,13,0,0,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
none,3,6,3,3,6,1,0,0,15,0,0,0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,9736,203,0,0,3,2,67.66666667,6,1.072084765,1.5,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
none,4,4,0,4,5,1,0,5,0,0,,,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,13,1,0,1,0,2,0,0,2,0,2,1,0,0,0,15,26,0,175,13,0,2,3,3,4.333333333,5.5,0.91101754,1,0.333333333,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,6,4,2,14,1,0,8,12,0.61111116,0.4090909,1,12,0,12,0,0,0,12,0,0,0,3,0,0,3,0,0,0,0,2,55,11,0,1,0,1,4,4,11,8,5,1,0,0,0,22,1,0,3088,49,0,1,2,1,24.5,0,0.687931944,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,7,9,2,7,12,1,0,9,39,0.77272725,0.14545454,0.29090908,11,0,11,0,0,0,11,0,0,0,4,0,0,4,0,0,2,0,2,46,5,0,1,0,0,0,2,11,1,8,1,0,0,0,68,1,0,374,51,0,2,2,2,25.5,0,0.691416078,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
major,29,31,2,29,41,2,0,22,210,0,0,0,21,2,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,125,32,0,5,1,0,12,0,13,5,13,2,0,0,0,61,1,0,221312,121,0,0,3,2,40.33333333,13.6875,1.081525695,1.5,0.666666667,FALSE,TRUE,FALSE,FALSE,FALSE
none,19,21,2,19,3,2,0,24,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,0,1,2,0,0,0,0,1,89,1,0,0,0,0,0,18,9,2,10,0,1,2,0,55,1,0,211,5,0,1,1,1,5,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
minor,8,10,2,8,19,1,0,31,3,0.6666667,0,0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,4,81,1,7,4,0,3,2,9,24,1,18,5,0,0,0,84,1,0,1092,74,0,0,3,2,24.66666667,5.375,1.052649648,1.5,0.666666667,FALSE,FALSE,FALSE,FALSE,FALSE
none,0,13,13,0,16,1,0,2,19,0.70000005,0.2888889,0.64444447,10,0,10,0,0,0,10,0,10,0,4,0,0,4,0,0,0,0,3,42,6,0,4,0,0,2,3,5,0,4,1,0,0,0,93,1,0,3074,187,0,4,6,1,31.16666667,9.60546875,1.356887224,6,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,0,0,0,0,2,1,0,0,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,2,0,1,0,0,0,0,13,9,0,3670,180,1,3,8,3,22.5,8.492283951,1.688981376,2.666666667,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
none,3,10,7,3,21,4,0,12,8,0.51282054,0.44871795,0.5769231,13,0,13,0,0,0,13,0,0,0,3,0,0,3,0,0,0,0,0,97,13,0,7,0,1,10,10,15,9,7,1,0,0,0,103,1,0,3377,91,0,0,1,1,91,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,2,4,2,2,6,2,0,5,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,20,4,0,2,0,0,0,0,3,0,3,1,0,0,0,46,1,0,3852,147,0,4,7,5,21,6.26035503,1.240427687,1.4,0.285714286,FALSE,FALSE,FALSE,FALSE,FALSE
none,0,1,1,0,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0,6285,242,1,1,7,4,34.57142857,10.78222222,1.679337702,1.75,0.285714286,TRUE,FALSE,TRUE,FALSE,FALSE
none,4,6,2,4,0,3,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0,7433,173,0,1,4,3,43.25,12.12244898,1.153805768,1.333333333,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
minor,7,12,5,7,16,1,0,18,0,0.33333334,0.8,1,6,6,6,0,0,0,6,0,0,0,3,3,3,0,0,0,3,0,1,58,6,2,2,0,0,6,0,13,0,9,3,0,0,0,86,1,0,818,29,0,0,4,2,7.25,0,1.187458863,2,0.75,FALSE,FALSE,FALSE,TRUE,FALSE
critical,30,31,1,30,35,2,0,72,91,0.9285714,0,0,14,0,11,3,0,0,11,0,0,0,1,1,0,1,0,0,1,0,9,238,9,3,7,2,0,33,3,75,1,75,3,0,0,5,88,1,1,18808,771,1,9,25,6,30.84,11.27941176,2.734669654,4.166666667,0.44,TRUE,FALSE,FALSE,FALSE,FALSE
major,11,15,4,11,472,1,0,76,66,0.78125,0.083333336,0.083333336,48,0,9,39,0,0,9,0,0,0,10,0,0,10,0,0,3,0,10,1515,180,23,106,11,5,0,65,222,39,107,6,0,2,0,512,17,0,32876,164,0,3,8,3,20.5,4.08,1.809260208,2.666666667,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
none,11,12,1,11,4,1,0,0,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,581,10,0,0,1,1,10,3.333333333,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE
none,6,6,0,6,1,1,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,9,0,603,20,0,0,2,2,10,8.375,0.500402424,1,0.5,FALSE,TRUE,FALSE,FALSE,FALSE
none,1,8,7,1,1,1,0,0,0,0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,717,22,0,1,1,1,22,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,6,6,0,6,2,1,0,4,0,0.25,1,1,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,25,0,0,0,0,0,12,9,9,2,9,0,1,0,0,31,1,0,103,9,0,1,1,1,9,0,0,1,1,FALSE,TRUE,TRUE,FALSE,FALSE
none,8,8,0,8,5,2,0,14,0,0,1,1,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,22,0,0,2,0,1,1,2,6,0,6,2,0,0,0,34,2,0,3245,202,0,7,15,7,13.46666667,10.48979592,1.688682946,2.142857143,0.6,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,3,1,2,1,2,0,0,0,1,,,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0,9743,82,0,4,5,3,16.4,3.5,1.158182404,1.666666667,0.4,TRUE,TRUE,FALSE,FALSE,FALSE
none,7,8,1,7,9,2,0,8,0,0,1,1,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,1,0,0,83,6,0,0,0,0,0,0,1,0,1,0,0,1,0,154,1,0,4187,155,2,8,9,2,17.22222222,3,1.393957082,4.5,0.888888889,FALSE,TRUE,FALSE,FALSE,FALSE
none,2,15,13,2,29,1,2,12,38,0.8125,0.35238096,1,16,0,15,1,0,0,15,0,0,0,8,1,0,8,0,0,1,0,1,88,13,0,7,0,3,4,4,16,0,9,1,0,1,0,55,1,0,2463,93,0,6,6,3,15.5,5.777777778,1.612073909,2,0.666666667,TRUE,FALSE,FALSE,FALSE,FALSE
none,8,9,1,8,5,1,0,5,0,0.625,0.5,0.5,4,0,4,0,0,0,4,0,0,0,2,1,1,1,0,0,2,0,1,19,2,0,0,0,1,1,0,2,0,2,1,0,0,0,38,1,0,155,11,0,0,1,1,11,3.5,0,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
minor,6,8,2,6,12,2,0,4,2,0.625,0.4642857,1,8,0,8,0,0,0,8,0,0,0,4,0,0,0,4,0,0,0,1,44,3,3,0,0,0,2,5,7,1,6,2,0,0,0,44,1,0,3824,224,0,2,7,3,32,6.561728395,1.381453446,2.333333333,0.571428571,TRUE,FALSE,TRUE,FALSE,FALSE
none,0,0,0,0,5,1,0,5,1,0.33333334,0.33333334,0.33333334,3,0,0,0,0,3,3,0,1,0,1,0,0,0,0,1,0,0,0,18,2,1,1,0,1,0,1,3,0,3,1,0,0,0,23,24,0,197,56,0,1,2,2,28,2.75,0.154076104,1,0.5,FALSE,FALSE,FALSE,TRUE,FALSE
minor,11,12,1,11,12,2,0,8,0,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,4,3,0,4,0,11,4,7,3,0,1,0,74,1,0,220,10,0,0,1,1,10,0,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
none,3,4,1,3,8,2,0,6,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,6,1,1,0,4,0,2,0,2,0,2,0,0,0,22,1,0,3074,109,0,1,3,3,36.33333333,4.352941176,1.077915369,1,0.333333333,FALSE,FALSE,FALSE,FALSE,FALSE
none,5,5,0,5,4,1,0,0,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,1732,36,0,0,2,2,18,9.026627219,0.590842246,1,0.5,FALSE,TRUE,FALSE,FALSE,FALSE
none,4,8,4,4,6,4,0,2,0,0.5,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,25,4,0,0,0,0,0,0,3,0,3,0,0,0,0,36,1,0,222,5,0,0,1,1,5,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,1,0,1,0,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,686496,356,1,5,9,5,39.55555556,13.99567334,2.014388581,1.8,0.444444444,TRUE,FALSE,FALSE,FALSE,FALSE
none,0,1,1,0,4,1,0,4,0,0,,,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,2,0,0,0,2,5,0,3,2,0,0,0,52,1,0,549,67,0,0,1,1,67,8.510416667,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,3,2,1,1,1,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,25926,411,0,9,18,6,22.83333333,8.51548229,2.374881638,3,0.277777778,FALSE,FALSE,FALSE,FALSE,FALSE
none,16,17,1,16,17,1,0,19,8,0.6,1,1,5,3,2,3,0,0,2,0,0,0,2,0,0,2,0,0,0,0,6,60,2,4,0,0,5,0,0,10,0,10,3,0,0,0,62,1,0,115,6,0,0,1,1,6,4.625,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,2,3,1,2,7,1,0,0,21,0,0,0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,1,1,0,0,0,0,0,0,0,31,1,0,12087,172,0,2,4,1,43,10.16171225,1.169446022,4,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,4,5,1,4,2,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,825,56,0,2,4,1,14,0,0.779484019,4,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,2,1,1,5,2,0,2,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,2,0,0,1,2,1,0,1,1,0,0,0,49,1,0,10888,188,0,2,4,2,47,11.12890625,1.222185167,2,0.75,FALSE,FALSE,FALSE,TRUE,FALSE
none,3,7,4,3,43,1,0,39,5,0.7878788,0.61904764,0.71428573,11,3,7,4,0,0,7,0,0,0,9,6,0,9,0,0,9,0,11,159,15,11,10,0,0,9,5,31,4,27,4,0,1,0,126,1,0,1816,45,1,1,1,1,45,5.053719008,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
minor,13,20,7,13,11,1,0,17,27,0.78000003,0.22222222,0.30555555,10,2,1,1,0,8,9,0,0,0,5,0,0,1,0,4,0,0,3,145,5,0,1,0,0,0,0,9,0,8,1,4,0,0,78,1,0,7000,241,0,2,6,5,40.16666667,4.222222222,1.531749184,1.2,0.333333333,TRUE,FALSE,FALSE,FALSE,FALSE
none,2,4,2,2,4,1,0,0,0,0.5,0.5,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,22,0,0,1134,101,1,0,2,2,50.5,7.7216,0.420124274,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
minor,7,7,0,7,32,2,0,19,429,0.93333334,0.002298851,0.002298851,30,0,30,0,0,0,30,0,0,0,3,2,2,0,0,1,2,0,2,132,29,2,0,0,0,25,0,5,0,4,1,1,0,0,66,9,0,17228,215,0,0,7,2,30.71428571,2.444444444,1.696153847,3.5,0.571428571,FALSE,TRUE,FALSE,FALSE,FALSE
none,12,12,0,12,15,1,0,17,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,5,0,2,1,8,12,0,9,5,0,0,0,49,1,0,17619,455,0,17,24,5,18.95833333,6.041522491,2.376276222,4.8,0.375,TRUE,TRUE,FALSE,FALSE,FALSE
none,3,14,11,3,1,1,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1232,61,0,0,4,2,15.25,5.125,0.793286118,2,0.75,FALSE,FALSE,FALSE,FALSE,FALSE
none,0,5,5,0,1,1,0,0,0,1,,,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,0,0,0,2,0,2,0,2,0,0,0,0,72,1,0,821,11,0,1,1,1,11,2.64,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,2,2,2,0,0,0,0,21,0,0,7480,177,1,2,12,8,14.75,13.18222222,2.313380727,1.5,0.25,TRUE,FALSE,TRUE,FALSE,FALSE
major,27,27,0,27,15,2,0,55,0,0.4375,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,122,0,1,4,3,0,7,14,23,0,25,8,1,0,6,100,1,0,309,13,0,0,2,1,6.5,5.555555556,0.540204142,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,4,4,0,0,10,0,0,0,0,0,8,0,8,5,8,0,0,0,0,47,1,0,531,15,0,2,2,2,7.5,0,0.244930027,1,0.5,TRUE,FALSE,FALSE,FALSE,FALSE
none,4,5,1,4,2,2,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1025,0,17172,259,0,0,10,6,25.9,7.752936988,1.829898186,1.666666667,0.4,FALSE,FALSE,TRUE,TRUE,FALSE
none,2,3,1,2,2,2,0,2,0,0,0,0,1,1,1,0,0,0,2,0,0,0,3,3,2,1,0,0,1,0,1,11,0,0,0,0,0,1,0,1,0,3,0,0,0,0,24,1,0,5851,94,0,1,2,2,47,7.961805556,0.67469937,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
none,0,0,0,0,1,1,0,0,0,0.33333334,,,1,0,1,0,0,0,1,0,0,0,3,1,2,0,0,1,1,0,0,9,0,0,0,0,0,0,1,3,0,3,0,0,0,0,48,1,0,10862,77,1,0,2,2,38.5,2,0.66857349,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE
major,4,4,0,4,36,1,0,30,34,0.8055555,0.24444444,1,12,1,10,2,0,0,10,0,0,0,12,0,0,0,0,12,5,0,13,125,12,4,4,1,1,2,5,27,0,25,5,0,0,3,64,9,0,11827,232,0,0,13,4,17.84615385,10,2.078068728,3.25,0.692307692,TRUE,FALSE,FALSE,FALSE,FALSE
none,1,1,0,1,3,1,0,0,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,1,0,1,1,1,0,0,0,0,42,9,0,5276,103,0,2,3,2,34.33333333,3.7578125,0.763432068,1.5,0.666666667,FALSE,TRUE,FALSE,FALSE,FALSE
none,1,1,0,1,1,2,0,1,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,14761,147,0,0,3,1,49,4.284354551,0.736346213,3,1,FALSE,FALSE,TRUE,FALSE,FALSE
none,5,8,3,5,9,1,0,7,3,0.33333334,0.3,0.3,6,0,3,1,0,2,5,0,0,0,1,0,0,1,0,0,1,0,0,32,4,0,3,0,0,0,0,4,0,3,1,0,0,0,65,1,0,3401,90,0,1,1,1,90,6.1325,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
none,1,1,0,1,1,5,0,0,0,0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,8,0,31990,1494,5,12,85,12,17.57647059,5.458,4.030048258,7.083333333,0.4,FALSE,TRUE,FALSE,FALSE,FALSE
none,0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,16,0,0,18,0,0,0,0,0,13,3,16,0,16,0,0,0,0,26,1,0,2686,98,0,0,3,2,32.66666667,4.569444444,1.094732679,1.5,0.666666667,FALSE,FALSE,FALSE,TRUE,FALSE
